model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012818.jpg,0.07450710237026215,0.5953027606010437,0.6173416376113892
center,not_applicable,7ad21b6a799f,COCO_val2014_000000012991.jpg,0.15464739501476288,0.31686338782310486,0.41696077585220337
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013081.jpg,0.16081617772579193,0.035877153277397156,0.36442917585372925
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013383.jpg,0.10803689807653427,0.5927748680114746,0.6351276636123657
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013490.jpg,0.09939975291490555,0.5492890477180481,0.5665991306304932
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013659.jpg,0.1415773630142212,0.24550455808639526,0.41049444675445557
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013729.jpg,0.12848590314388275,0.3623117208480835,0.4991343915462494
center,not_applicable,7ad21b6a799f,COCO_val2014_000000013943.jpg,0.13997481763362885,0.35630330443382263,0.46744614839553833
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014226.jpg,0.11780078709125519,0.6360873579978943,0.47588974237442017
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014248.jpg,0.13758303225040436,0.5188225507736206,0.3418840169906616
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014297.jpg,0.05148490518331528,0.8160679340362549,0.7203142046928406
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014353.jpg,0.14539965987205505,0.48785287141799927,0.3253769874572754
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014494.jpg,0.12250170111656189,0.5022555589675903,0.5161315202713013
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014635.jpg,0.16315603256225586,0.2254440039396286,0.34264853596687317
center,not_applicable,7ad21b6a799f,COCO_val2014_000000014713.jpg,0.059726063162088394,0.6961040496826172,0.73599773645401
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015017.jpg,0.14384129643440247,0.4607357978820801,0.38921183347702026
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015157.jpg,0.1243990957736969,0.6454470753669739,0.48100388050079346
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015335.jpg,0.12653884291648865,0.501892626285553,0.47564172744750977
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015345.jpg,0.11948926001787186,0.5644432902336121,0.4711073637008667
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015497.jpg,0.1472550928592682,0.47322648763656616,0.42116329073905945
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015846.jpg,0.1380518674850464,0.4521089494228363,0.32962170243263245
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015850.jpg,0.07276371121406555,0.6866897344589233,0.6309014558792114
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015947.jpg,0.10012990236282349,0.5060784220695496,0.6237776279449463
center,not_applicable,7ad21b6a799f,COCO_val2014_000000015956.jpg,0.1281304657459259,0.5262775421142578,0.43085306882858276
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016382.jpg,0.06682980060577393,0.7380982041358948,0.6794565916061401
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016439.jpg,0.10205613076686859,0.6917557716369629,0.5554511547088623
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016593.jpg,0.10802848637104034,0.5475976467132568,0.5329480171203613
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016775.jpg,0.09519832581281662,0.5857353806495667,0.5425195693969727
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016961.jpg,0.13505162298679352,0.39930829405784607,0.49097466468811035
center,not_applicable,7ad21b6a799f,COCO_val2014_000000016977.jpg,0.06845849752426147,0.6344907879829407,0.6806143522262573
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017018.jpg,0.13956387341022491,0.516086995601654,0.3484286069869995
